Name,Gender,City,Frequency,Item,Spends
Nitish,M,Kolkata,Weekly,Burger,11
Anu,F,Gurgaon,Daily,Sandwich,14
Mukku,M,Kolkata,Once,Vada,25
Suri,M,Kolkata,Monthly,Pizza,56
Rajiv,M,Patna,Never,Paneer,34
Manav,F,Kolkata,Never,Chowmein,88
Diya,M,Bangalore,Once,Roll,44
Aditya,M,Pune,Monthly,Samosa,44
Naira,F,Ahmedabad,Weekly,Burger,55
Rahul,M,Ahmedabad,Daily,Chowmein,45
Rhea,M,Hyderabad,Never,Burger,78
Dhruv,M,Bangalore,Weekly,Dosa,60
Vivek,M,Hyderabad,Once,Samosa,70
Rahul,M,Bangalore,Never,Paneer,49
Ragini,M,Delhi,Weekly,Vada,65
Saanvi,M,Delhi,Once,Roll,35
Kavya,M,Mumbai,Daily,Paneer,73
Tanvi,M,Ahmedabad,Daily,Vada,72
Aryan,F,Mumbai,Weekly,Burger,83
Vivek,F,Hyderabad,Daily,Dosa,15
Om,M,Delhi,Once,Burger,86
Aman,M,Bangalore,Weekly,Sandwich,49
Pooja,M,Pune,Weekly,Chowmein,36
Nikhil,M,Delhi,Never,Vada,25
Diya,M,Kolkata,Once,Dosa,33
Kiara,M,Bangalore,Once,Roll,66
Ragini,M,Hyderabad,Once,Roll,93
Kabir,F,Delhi,Never,Vada,70
Meera,F,Delhi,Monthly,Burger,26
Om,F,Delhi,Once,Chowmein,8
Tanvi,F,Chennai,Once,Burger,13
Meera,M,Bangalore,Weekly,Sandwich,14
Rhea,M,Kolkata,Monthly,Roll,9
Shreya,M,Ahmedabad,Daily,Roll,92
Aisha,M,Mumbai,Once,Paneer,26
Neha,F,Bangalore,Monthly,Burger,100
Nikhil,M,Chennai,Monthly,Roll,19
Kabir,M,Ahmedabad,Never,Vada,75
Tanvi,M,Ahmedabad,Once,Roll,7
Simran,F,Bangalore,Weekly,Paneer,72
Simran,F,Chennai,Monthly,Paneer,24
Tara,M,Bangalore,Monthly,Vada,25
Swati,M,Kolkata,Once,Burger,79
Aryan,F,Ahmedabad,Weekly,Sandwich,76
Rohit,F,Ahmedabad,Never,Paneer,41
Vivaan,F,Mumbai,Never,Burger,6
Sneha,F,Delhi,Once,Burger,67
Pooja,M,Ahmedabad,Daily,Pizza,33
Yash,F,Bangalore,Daily,Dosa,42
Rahul,M,Bangalore,Weekly,Samosa,79
Kabir,F,Kolkata,Once,Burger,69
Abhay,F,Hyderabad,Never,Burger,39
Tara,M,Chennai,Never,Pizza,71
Diya,F,Ahmedabad,Once,Paneer,72
Tara,M,Ahmedabad,Weekly,Sandwich,21
Tanish,F,Mumbai,Once,Chowmein,12
Tara,F,Kolkata,Never,Pizza,10
Naira,F,Chennai,Weekly,Chowmein,91
Tara,M,Kolkata,Once,Pizza,41
Ragini,M,Chennai,Never,Dosa,41
Aarav,M,Delhi,Monthly,Chowmein,39
Rohit,F,Pune,Never,Pizza,86
Nitin,F,Bangalore,Weekly,Burger,100
Arjun,F,Ahmedabad,Weekly,Burger,14
Sneha,F,Delhi,Weekly,Roll,65
Aditya,M,Bangalore,Weekly,Sandwich,70
Pooja,F,Ahmedabad,Once,Burger,47
Rahul,F,Mumbai,Weekly,Vada,30
Arjun,M,Pune,Weekly,Vada,97
Nikhil,M,Kolkata,Monthly,Dosa,75
Siddharth,M,Chennai,Monthly,Sandwich,16
Saanvi,F,Kolkata,Daily,Chowmein,95
Meera,M,Hyderabad,Once,Vada,33
Arjun,M,Kolkata,Monthly,Burger,42
Anaya,M,Bangalore,Daily,Sandwich,80
Karan,F,Mumbai,Weekly,Samosa,10
Ragini,F,Ahmedabad,Weekly,Sandwich,90
Shreya,M,Bangalore,Weekly,Sandwich,25
Aisha,M,Hyderabad,Once,Dosa,82
Arjun,M,Kolkata,Once,Dosa,65
Nikhil,M,Delhi,Daily,Burger,22
Nitin,F,Pune,Daily,Roll,22
Dhruv,M,Delhi,Once,Burger,15
Yash,M,Hyderabad,Monthly,Burger,84
Nitin,M,Hyderabad,Monthly,Paneer,87
Vivaan,M,Chennai,Never,Burger,73
Shreya,M,Bangalore,Never,Sandwich,92
Diya,F,Chennai,Monthly,Chowmein,59
Aryan,M,Pune,Never,Vada,58
Meera,M,Pune,Weekly,Paneer,40
Ira,M,Kolkata,Once,Roll,20
Vivaan,F,Bangalore,Daily,Paneer,53
Tanish,M,Chennai,Weekly,Pizza,35
Om,F,Hyderabad,Weekly,Burger,11
Saanvi,F,Bangalore,Daily,Samosa,95
Aryan,M,Ahmedabad,Monthly,Pizza,42
Rahul,M,Delhi,Daily,Roll,62
Reyansh,M,Delhi,Daily,Paneer,65
Kiara,M,Chennai,Daily,Burger,65
Ishaan,M,Bangalore,Monthly,Samosa,25
Reyansh,F,Ahmedabad,Monthly,Burger,18
Pooja,F,Pune,Once,Dosa,12
Manav,F,Bangalore,Daily,Paneer,37
Rahul,F,Mumbai,Monthly,Vada,42
Tanvi,F,Kolkata,Daily,Chowmein,23
Swati,M,Mumbai,Never,Roll,93
Arjun,F,Delhi,Daily,Chowmein,52
Simran,M,Hyderabad,Once,Paneer,17
Kabir,M,Ahmedabad,Weekly,Burger,34
Dhruv,M,Bangalore,Never,Roll,96
Om,F,Hyderabad,Once,Vada,40
Tara,M,Delhi,Once,Burger,16
Ira,F,Delhi,Monthly,Burger,65
Aryan,F,Chennai,Weekly,Pizza,14
Nitin,F,Chennai,Never,Roll,100
Abhay,F,Hyderabad,Monthly,Burger,94
Aryan,F,Pune,Once,Dosa,49
Naira,F,Ahmedabad,Daily,Chowmein,72
Arjun,F,Kolkata,Weekly,Chowmein,96
Karan,M,Bangalore,Monthly,Burger,93
Rohit,M,Pune,Weekly,Pizza,54
Aarav,M,Mumbai,Weekly,Pizza,8
Pooja,F,Chennai,Never,Paneer,54
Kavya,F,Mumbai,Never,Vada,42
Aditya,F,Bangalore,Never,Roll,50
Aarav,M,Chennai,Daily,Dosa,38
Priya,F,Delhi,Once,Sandwich,95
Arjun,M,Mumbai,Monthly,Burger,61
Rahul,F,Bangalore,Never,Burger,33
Rahul,F,Hyderabad,Monthly,Vada,22
Rohit,M,Kolkata,Once,Samosa,5
Vivek,M,Ahmedabad,Monthly,Vada,39
Karan,F,Ahmedabad,Daily,Burger,90
Sneha,F,Bangalore,Weekly,Roll,21
Tara,F,Bangalore,Daily,Pizza,49
Anaya,M,Bangalore,Never,Paneer,91
Aisha,M,Ahmedabad,Monthly,Roll,81
Simran,M,Pune,Never,Chowmein,70
Tanish,F,Pune,Daily,Chowmein,36
Aryan,F,Delhi,Once,Pizza,34
Aman,F,Chennai,Once,Burger,98
Priya,F,Bangalore,Weekly,Burger,45
Kavya,M,Chennai,Monthly,Samosa,9
Neha,M,Ahmedabad,Once,Sandwich,49
Reyansh,M,Pune,Monthly,Paneer,29
Aarav,M,Chennai,Once,Pizza,42
Kriti,F,Hyderabad,Once,Burger,78
Vivek,M,Pune,Once,Burger,71
Ira,F,Chennai,Monthly,Vada,58
Shreya,M,Chennai,Once,Roll,79
Ishaan,M,Pune,Daily,Dosa,39
Pooja,M,Kolkata,Weekly,Vada,68
Nikhil,F,Kolkata,Never,Paneer,83
Abhay,F,Ahmedabad,Daily,Sandwich,33
Aarav,F,Bangalore,Never,Dosa,22
Ira,F,Kolkata,Monthly,Sandwich,22
Aisha,F,Hyderabad,Weekly,Sandwich,61
Meera,M,Bangalore,Monthly,Pizza,8
Nitin,F,Pune,Once,Chowmein,69
Aman,F,Bangalore,Daily,Pizza,11
Kiara,F,Mumbai,Daily,Chowmein,42
Dhruv,M,Pune,Never,Paneer,65
Rahul,M,Hyderabad,Never,Burger,48
Aarav,M,Ahmedabad,Never,Pizza,27
Rahul,M,Hyderabad,Monthly,Samosa,53
Sneha,M,Delhi,Never,Pizza,66
Manav,M,Bangalore,Daily,Paneer,25
Nitin,F,Hyderabad,Daily,Burger,93
Nitin,F,Pune,Monthly,Vada,39
Kavya,F,Pune,Weekly,Pizza,88
Aarav,M,Bangalore,Daily,Samosa,61
Nikhil,F,Delhi,Once,Sandwich,97
Naira,F,Delhi,Daily,Samosa,73
Aryan,F,Mumbai,Weekly,Chowmein,49
Kiara,F,Chennai,Once,Paneer,37
Simran,M,Pune,Weekly,Chowmein,55
Tara,F,Chennai,Daily,Samosa,74
Aditya,F,Hyderabad,Once,Vada,61
Aisha,M,Hyderabad,Never,Pizza,93
Ishaan,M,Bangalore,Monthly,Pizza,94
Aarav,M,Kolkata,Monthly,Chowmein,72
Tanvi,F,Delhi,Monthly,Paneer,40
Arjun,M,Mumbai,Daily,Roll,25
Diya,F,Delhi,Daily,Chowmein,22
Aarav,M,Mumbai,Never,Pizza,29
Manav,M,Ahmedabad,Never,Pizza,70
Ishaan,M,Kolkata,Monthly,Vada,75
Nitin,F,Mumbai,Never,Paneer,53
Meera,M,Pune,Monthly,Vada,74
Ragini,F,Bangalore,Daily,Pizza,21
Aisha,F,Hyderabad,Never,Chowmein,86
